ds,yhat
1961-01-01,464.29527570477495
1961-02-01,461.902692090395
1961-03-01,494.45193435205096
1961-04-01,492.30665424319807
1961-05-01,493.793151662434
1961-06-01,537.1923906614446
1961-07-01,577.2816232094525
1961-08-01,572.7523127115143
1961-09-01,533.3957026112228
1961-10-01,491.39981251190375
1961-11-01,460.8880480570182
1961-12-01,493.69431131059235
1962-01-01,499.34885267331447
1962-02-01,496.35651816432903
1962-03-01,532.495928727835
1962-04-01,525.1538632853832
1962-05-01,529.5889338776714
1962-06-01,577.3035257755033
1962-07-01,611.1970696463372
1962-08-01,614.2081248589966
1962-09-01,566.764359537315
1962-10-01,527.2028751524632
1962-11-01,498.05211575596917
1962-12-01,527.705033307029
1963-01-01,533.3589334351467
1963-02-01,535.4769997898791
1963-03-01,575.1736021286777
1963-04-01,560.1702203265994
1963-05-01,571.8977400033813
1963-06-01,609.6609640526414
1963-07-01,647.2819326045528
1963-08-01,650.2734404388782
1963-09-01,600.9488198567907
1963-10-01,562.0224765906366
1963-11-01,539.8755428105205
1963-12-01,562.4898909886591
1964-01-01,573.837716467579
1964-02-01,566.889702173089
1964-03-01,600.0353881388495
1964-04-01,603.3872803341856
1964-05-01,610.1693598874107
1964-06-01,645.206069682046
1964-07-01,687.2947921427567
1964-08-01,687.9742241165158
1964-09-01,634.6641046386959
1964-10-01,604.0308083243973
1964-11-01,567.3766323429205
1964-12-01,594.2806346928978
1965-01-01,617.4643188016116
1965-02-01,605.4051068260035
1965-03-01,637.9543490876592
1965-04-01,638.5433263501711
1965-05-01,643.9732176823813
1965-06-01,679.5690547645451
1965-07-01,723.5182953164227
1965-08-01,721.7583148141606
1965-09-01,676.521249711531
1965-10-01,644.5688556087431
1965-11-01,604.3904627926265
1965-12-01,636.8198584109008
1966-01-01,649.5289186932637
1966-02-01,638.7331822674287
1966-03-01,674.8725928309318
1966-04-01,678.3229063822242
1966-05-01,678.5949359803167
1966-06-01,720.4290728758144
1966-07-01,764.3661127431764
1966-08-01,757.7105395946037
1966-09-01,713.0010316442881
1966-10-01,677.3829411724121
1966-11-01,640.4287798590657
1966-12-01,673.9417054140023
1967-01-01,682.3649355377909
1967-02-01,678.6025468901868
1967-03-01,718.2991492289847
1967-04-01,710.3502863465491
1967-05-01,715.4001547389895
1967-06-01,755.8976361596153
1967-07-01,797.4619986245013
1967-08-01,792.6501045419766
1967-09-01,754.11786295363
1967-10-01,711.0284786932816
1967-11-01,683.0010899108279
1967-12-01,715.6589340854982
1968-01-01,717.3401312031865
1968-02-01,713.1263742800597
1968-03-01,753.2044312356883
1968-04-01,746.8896950697922
1968-05-01,753.2949069877182
1968-06-01,795.3861357019946
1968-07-01,830.7972068783644
1968-08-01,834.2108962234882
1968-09-01,783.6701067413405
1968-10-01,746.4074724274951
