,ds,yhat
0,1949-01-01,86.18797736838486
1,1949-02-01,75.16815454155126
2,1949-03-01,106.86295853511831
3,1949-04-01,112.26425764480784
4,1949-05-01,109.84630841419869
5,1949-06-01,152.17741425804542
6,1949-07-01,194.46230724990363
7,1949-08-01,187.00164232956797
8,1949-09-01,140.94074510846997
9,1949-10-01,104.9617614362082
10,1949-11-01,65.82277209598307
11,1949-12-01,98.4624626387694
12,1950-01-01,107.92573747305923
13,1950-02-01,103.86528413604435
14,1950-03-01,139.15026937207705
15,1950-04-01,133.16202985893938
16,1950-05-01,135.50756367537142
17,1950-06-01,176.5178598801406
18,1950-07-01,216.4283018822749
19,1950-08-01,210.81208874910945
20,1950-09-01,170.91487351259437
21,1950-10-01,127.4489142843077
22,1950-11-01,97.22999259927809
23,1950-12-01,129.07853739046098
24,1951-01-01,131.8010992915733
25,1951-02-01,127.21489472089084
26,1951-03-01,166.05707809581753
27,1951-04-01,154.86243681071917
28,1951-05-01,160.1709052032194
29,1951-06-01,205.48071431526847
30,1951-07-01,239.1972418730453
31,1951-08-01,241.12062239645084
32,1951-09-01,193.14983698302385
33,1951-10-01,152.13397877325332
34,1951-11-01,123.28277186003605
35,1951-12-01,151.91404000171948
36,1952-01-01,154.63464543303635
37,1952-02-01,155.2332434380508
38,1952-03-01,186.6826959731446
39,1952-04-01,181.4073820369908
40,1952-05-01,188.02290702830715
41,1952-06-01,226.8683690483452
42,1952-07-01,262.5380807366122
43,1952-08-01,270.7641396353734
44,1952-09-01,214.5227082644729
45,1952-10-01,181.8482379122536
46,1952-11-01,146.54793896166268
47,1952-12-01,171.36771906608757
48,1953-01-01,187.85259916305202
49,1953-02-01,179.60759461807805
50,1953-03-01,211.30735577337543
51,1953-04-01,210.83372038571244
52,1953-05-01,218.46460957583642
53,1953-06-01,251.13460756345745
54,1953-07-01,293.047970334061
55,1953-08-01,292.64733966123197
56,1953-09-01,238.90573626595062
57,1953-10-01,206.90549841304667
58,1953-11-01,170.65852566118988
59,1953-12-01,196.78760716509964
60,1954-01-01,217.35614761261238
61,1954-02-01,203.9419525338572
62,1954-03-01,239.5095450391173
63,1954-04-01,236.56846723906799
64,1954-05-01,243.16020562177076
65,1954-06-01,276.936397836247
66,1954-07-01,321.2577813195992
