,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1960-10-01,478.0956290659453,457.47792815547166,458.01664754339805,478.0956290659453,478.0956290659453,-20.3349885824044,-20.3349885824044,-20.3349885824044,1.1736405642796022,1.1736405642796022,1.1736405642796022,-21.508629146684,-21.508629146684,-21.508629146684,0.0,0.0,0.0,457.7606404835409
1,1960-11-01,481.22566241716896,418.07287022455233,418.60649826771197,481.22566241716896,481.22566241716896,-62.8740181257065,-62.8740181257065,-62.8740181257065,-3.814867945667854,-3.814867945667854,-3.814867945667854,-59.05915018003864,-59.05915018003864,-59.05915018003864,0.0,0.0,0.0,418.35164429146243
2,1960-12-01,484.2547269506113,451.6293133656387,452.1614264591515,484.2547269506113,484.2547269506113,-32.35513539391624,-32.35513539391624,-32.35513539391624,0.6069951783980305,0.6069951783980305,0.6069951783980305,-32.96213057231427,-32.96213057231427,-32.96213057231427,0.0,0.0,0.0,451.8995915566951
3,1961-01-01,487.384760301835,464.00398964846806,464.5355137835442,487.384760301835,487.384760301835,-23.112365032863003,-23.112365032863003,-23.112365032863003,-1.6152602202372646,-1.6152602202372646,-1.6152602202372646,-21.497104812625743,-21.497104812625743,-21.497104812625743,0.0,0.0,0.0,464.272395268972
4,1961-02-01,490.5147936530587,461.64149115686996,462.1670980722987,490.5147936530587,490.5147936530587,-28.62120659342943,-28.62120659342943,-28.62120659342943,1.0902859935184908,1.0902859935184908,1.0902859935184908,-29.711492586947923,-29.711492586947923,-29.711492586947923,0.0,0.0,0.0,461.8935870596293
5,1961-03-01,493.32564245124786,494.21487229136324,494.7574987805928,493.32564245124786,493.32564245124786,1.1606757730210029,1.1606757730210029,1.1606757730210029,1.0902859935181015,1.0902859935181015,1.0902859935181015,0.0703897795029013,0.0703897795029013,0.0703897795029013,0.0,0.0,0.0,494.48631822426887
6,1961-04-01,496.4376536206717,492.0669845919898,492.58634838877146,496.4376536206717,496.4376536206717,-4.110649870637,-4.110649870637,-4.110649870637,1.1736405642774816,1.1736405642774816,1.1736405642774816,-5.284290434914483,-5.284290434914483,-5.284290434914483,0.0,0.0,0.0,492.3270037500347
7,1961-05-01,499.44927733301733,493.528282257271,494.08287407620713,499.44927733301733,499.44927733301733,-5.637970240615123,-5.637970240615123,-5.637970240615123,-2.2067668099450426,-2.2067668099450426,-2.2067668099450426,-3.431203430670081,-3.431203430670081,-3.431203430670081,0.0,0.0,0.0,493.8113070924022
8,1961-06-01,502.5612885024411,536.917327404115,537.4691901813029,502.5612885024411,502.5612885024411,34.63699117104149,34.63699117104149,34.63699117104149,0.606995178398337,0.606995178398337,0.606995178398337,34.02999599264315,34.02999599264315,34.02999599264315,0.0,0.0,0.0,537.1982796734826
9,1961-07-01,505.5739170276386,577.0076899238128,577.562215827333,505.5739170276386,505.5739170276386,71.71008625099125,71.71008625099125,71.71008625099125,1.1736405642831624,1.1736405642831624,1.1736405642831624,70.53644568670809,70.53644568670809,70.53644568670809,0.0,0.0,0.0,577.2840032786298
10,1961-08-01,508.6869665036758,572.4877248277439,573.0372036860297,508.6869665036758,508.6869665036758,64.06512706916742,64.06512706916742,64.06512706916742,-3.8148679456689405,-3.8148679456689405,-3.8148679456689405,67.87999501483635,67.87999501483635,67.87999501483635,0.0,0.0,0.0,572.7520935728433
11,1961-09-01,511.80001597971324,533.1459720688548,533.6964773025112,511.80001597971324,511.80001597971324,21.596961789324013,21.596961789324013,21.596961789324013,4.765973239653946,4.765973239653946,4.765973239653946,16.830988549670064,16.830988549670064,16.830988549670064,0.0,0.0,0.0,533.3969777690372
12,1961-10-01,514.8126445049106,491.1206914754437,491.65170090849494,514.8126445049106,514.8126445049106,-23.419259870866767,-23.419259870866767,-23.419259870866767,-1.6152602202397839,-1.6152602202397839,-1.6152602202397839,-21.803999650626984,-21.803999650626984,-21.803999650626984,0.0,0.0,0.0,491.39338463404385
